benchmark,seed,status,tests_passed,total_tests,wall_time_s,tokens_used,total_llm_cost,planner_retries,formulizer_retries,coder_retries,debugger_retries
max_cut,42,failed,0,8,62.7,18062,0.0133,0,0,0,0
maximum_independent_set,42,failed,0,0,17.8,2772,0.0017,0,0,0,0
minimum_bisection,42,failed,0,0,88.1,21579,0.0197,0,0,0,0
minimum_multicut_tree,42,failed,0,0,97.5,19574,0.0180,0,0,0,0
molecular_conformation_selection,42,success,2,2,128.1,24217,0.0193,0,0,0,0
n_queens_exact_cover,42,failed,0,0,29.4,3522,0.0024,0,0,0,0
number_partition,42,success,2,2,97.1,20930,0.0153,0,0,0,0
nurse_scheduling,42,success,2,2,150.2,25914,0.0185,0,0,0,0
operating_system_task_scheduling,42,failed,0,3,673.8,97360,0.0777,0,0,0,0
phase_field_correction,42,failed,0,2,69.6,16128,0.0112,0,0,0,0
portfolio_optimization,42,success,2,2,106.2,21910,0.0153,0,0,0,0
protein_lattice_folding,42,success,2,2,179.9,23503,0.0178,0,0,0,0
qseg_remote_sensing_segmentation,42,success,2,2,143.0,24658,0.0198,0,0,0,0
quadratic_assignment,42,failed,0,1,121.8,31312,0.0198,0,0,0,0
quantum_circuit_compilation,42,success,2,2,88.0,18855,0.0141,0,0,0,0
quantum_circuit_routing,42,failed,0,0,95.8,21070,0.0169,0,0,0,0
qubit_allocation,42,failed,1,2,193.3,32021,0.0237,0,0,0,0
railway_dispatching,42,failed,0,2,674.4,91134,0.0730,0,0,0,0
recommender_feature_selection,42,success,2,2,95.5,22825,0.0174,0,0,0,0
resource_constrained_project_scheduling,42,failed,0,2,260.3,47875,0.0355,0,0,0,0
rna_folding,42,success,3,3,96.1,23213,0.0168,0,0,0,0
robot_arm_path_planning,42,failed,0,0,103.5,22705,0.0158,0,0,0,0
sensor_placement_mutual_information,42,success,2,2,99.8,20551,0.0144,0,0,0,0
set_cover,42,success,2,2,148.6,23435,0.0176,0,0,0,0
set_packing,42,success,1,1,92.4,20317,0.0150,0,0,0,0
social_influence_maximization,42,success,2,2,117.2,24389,0.0178,0,0,0,0
steiner_tree,42,failed,0,1,144.6,23475,0.0180,0,0,0,0
stereo_matching,42,success,2,2,159.8,28340,0.0214,0,0,0,0
subset_sum,42,success,1,1,59.8,16434,0.0113,0,0,0,0
supply_chain_allocation,42,failed,0,0,139.9,21325,0.0177,0,0,0,0
support_vector_machine_training,42,failed,0,0,74.8,17227,0.0131,0,0,0,0
top_eigencentrality_nodes,42,failed,0,0,19.2,3124,0.0021,0,0,0,0
traffic_route_assignment,42,failed,0,2,182.9,28288,0.0217,0,0,0,0
travelling_salesman,42,failed,0,0,415.8,100523,0.0942,0,0,0,0
unit_commitment,42,failed,0,0,128.4,25042,0.0209,0,0,0,0
vehicle_routing,42,failed,0,0,82.0,20316,0.0167,0,0,0,0
vertex_cover,42,failed,0,1,135.1,20360,0.0158,0,0,0,0
vlsi_bisection_placement,42,failed,0,2,196.8,26070,0.0192,0,0,0,0
