benchmark,seed,status,tests_passed,total_tests,wall_time_s,tokens_used,total_llm_cost,failure_modes
k_sat,42,failed,0,0,565.7,66050,0.0525,coding_error
knapsack,42,failed,1,3,25.6,1056,0.0004,formulation_error
legal_document_summarization,42,failed,0,2,28.7,1408,0.0006,formulation_error
ligand_pose_hotspot_sampling,42,success,3,3,4.2,1714,0.0005,
llm_cascade_routing,42,success,2,2,4.9,1398,0.0011,
longest_path,42,failed,0,0,0.1,0,0.0000,
mars_satellite_observation_scheduling,42,failed,1,2,6.8,1397,0.0007,formulation_error
max_2_sat,42,success,1,1,19.4,2621,0.0018,
max_clique,42,success,4,4,18.1,1289,0.0004,
max_cut,42,failed,0,8,3.0,929,0.0003,formulation_error
maximum_independent_set,42,success,5,5,3.2,1075,0.0008,
minimum_bisection,42,failed,0,1,15.9,2259,0.0015,formulation_error
minimum_multicut_tree,42,success,2,2,18.8,1581,0.0009,
molecular_conformation_selection,42,success,2,2,4.1,1404,0.0005,
n_queens_exact_cover,42,success,1,1,11.8,2038,0.0023,
nurse_scheduling,42,success,2,2,7.3,1440,0.0008,
operating_system_task_scheduling,42,failed,0,3,7.1,1684,0.0014,formulation_error
phase_field_correction,42,success,2,2,3.5,882,0.0003,
portfolio_optimization,42,success,2,2,17.5,1522,0.0007,
protein_lattice_folding,42,failed,0,2,50.8,1598,0.0010,formulation_error
qseg_remote_sensing_segmentation,42,success,2,2,4.2,826,0.0003,
quadratic_assignment,42,failed,0,1,41.3,1420,0.0008,formulation_error
quantum_circuit_compilation,42,success,2,2,4.6,1008,0.0005,
quantum_circuit_routing,42,failed,0,2,4.9,708,0.0002,formulation_error
qubit_allocation,42,success,2,2,6.9,1700,0.0015,
railway_dispatching,42,success,2,2,8.2,1722,0.0009,
recommender_feature_selection,42,success,2,2,6.6,1365,0.0006,
resource_constrained_project_scheduling,42,failed,0,2,45.6,2754,0.0018,coding_error
rna_folding,42,success,3,3,3.9,1107,0.0006,
robot_arm_path_planning,42,failed,0,2,73.4,4280,0.0029,coding_error
sensor_placement_mutual_information,42,failed,0,2,5.0,1240,0.0008,formulation_error
set_cover,42,failed,0,2,4.4,1076,0.0004,formulation_error
set_packing,42,success,1,1,4.6,841,0.0004,
social_influence_maximization,42,failed,0,2,5.1,1428,0.0006,formulation_error
steiner_tree,42,failed,0,1,34.6,2115,0.0013,formulation_error
stereo_matching,42,success,2,2,27.4,1762,0.0010,
subset_sum,42,success,1,1,4.4,724,0.0003,
supply_chain_allocation,42,failed,1,2,44.6,2024,0.0020,formulation_error
support_vector_machine_training,42,failed,0,2,15.6,1789,0.0011,formulation_error
top_eigencentrality_nodes,42,failed,0,2,5.8,1220,0.0005,formulation_error
traffic_route_assignment,42,success,2,2,7.3,1548,0.0008,
travelling_salesman,42,failed,1,2,8.1,1314,0.0007,formulation_error
unit_commitment,42,failed,0,2,47.5,6697,0.0049,coding_error
vehicle_routing,42,success,2,2,12.8,2151,0.0013,
vertex_cover,42,success,1,1,9.2,746,0.0003,
vlsi_bisection_placement,42,failed,1,2,8.6,1691,0.0014,formulation_error
